LABEL,T_F,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,K1,X,Y,E0,XP,YP,BF_2TF,B_T,H_TW,H_T,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS,EDI_STD_NOMENCLATURE,AISC_MANUAL_LABEL,W,A,D,HT,OD,BF,B,ID,TW,TF,T,TNOM,TDES,KDES,KDET,X,Y,E0,XP,YP,W,B_T,H_T,H_TW,D_T,IX,ZX,SX,RX,IY,ZY,SY,RY,RZ,J,CW,C,WNO,SW,QF,QW,RO,H,TAN_ALPHA,QS
WT9X35.5,F,35.5,10.4,9.24,0,0,7.64,0,0,0.495,0.810,0,0,0.00,1.21,1.5,0,0.00,2.26,0.00,0.00,0.683,4.71,0.00,16.2,0.00,18.7,78.2,20.0,11.2,2.74,30.1,12.3,7.89,1.70,0.00,1.74,3.96,0.00,0.00,0.00,0.00,0.00,3.72,0.752,0.00,0.965,WT230X53,WT230X53,53.0,6710,235,0.00,0.00,194,0.00,0.00,12.6,20.6,0.00,0.00,0.00,30.7,38.1,0.00,57.4,0.00,0.00,17.3,53,0.00,0.00,16.20,18.7,32.5,328,184,69.6,12.5,202,129,43.2,0.00,724,1.06,0.00,0.00,0.00,0.00,0.00,94.5,0.752,0.00,0.965
WT9X32.5,F,32.5,9.55,9.18,0,0,7.59,0,0,0.450,0.750,0,0,0.00,1.15,1.4375,0,0.00,2.20,0.00,0.00,0.629,5.06,0.00,17.8,0.00,20.4,70.7,18.0,10.1,2.72,27.4,11.2,7.22,1.69,0.00,1.36,3.01,0.00,0.00,0.00,0.00,0.00,3.69,0.755,0.00,0.877,WT230X48.5,WT230X48.5,48.5,6160,233,0.00,0.00,193,0.00,0.00,11.4,19.1,0.00,0.00,0.00,29.2,36.5,0.00,55.9,0.00,0.00,16.0,48.5,0.00,0.00,17.80,20.4,29.4,295,166,69.1,11.4,184,118,42.9,0.00,566,0.808,0.00,0.00,0.00,0.00,0.00,93.7,0.755,0.00,0.877
WT9X30,F,30.0,8.82,9.12,0,0,7.56,0,0,0.415,0.695,0,0,0.00,1.10,1.375,0,0.00,2.16,0.00,0.00,0.583,5.44,0.00,19.3,0.00,22.0,64.7,16.5,9.29,2.71,25.0,10.3,6.63,1.68,0.00,1.08,2.35,0.00,0.00,0.00,0.00,0.00,3.67,0.756,0.00,0.797,WT230X44.5,WT230X44.5,44.5,5690,232,0.00,0.00,192,0.00,0.00,10.5,17.7,0.00,0.00,0.00,27.9,34.9,0.00,54.9,0.00,0.00,14.8,44.5,0.00,0.00,19.30,22.0,26.9,270,152,68.8,10.4,169,109,42.7,0.00,450,0.631,0.00,0.00,0.00,0.00,0.00,93.2,0.756,0.00,0.797
WT9X27.5,F,27.5,8.10,9.06,0,0,7.53,0,0,0.390,0.630,0,0,0.00,1.03,1.3125,0,0.00,2.16,0.00,0.00,0.538,5.98,0.00,20.6,0.00,23.2,59.5,15.3,8.63,2.71,22.5,9.26,5.97,1.67,0.00,0.830,1.84,0.00,0.00,0.00,0.00,0.00,3.68,0.749,0.00,0.734,WT230X41,WT230X41,41.0,5230,230,0.00,0.00,191,0.00,0.00,9.91,16.0,0.00,0.00,0.00,26.2,33.3,0.00,54.9,0.00,0.00,13.7,41,0.00,0.00,20.60,23.2,24.8,251,141,68.8,9.37,152,97.8,42.4,0.00,345,0.494,0.00,0.00,0.00,0.00,0.00,93.5,0.749,0.00,0.734
WT9X25,F,25.0,7.33,9.00,0,0,7.50,0,0,0.355,0.570,0,0,0.00,0.972,1.25,0,0.00,2.12,0.00,0.00,0.489,6.57,0.00,22.6,0.00,25.3,53.5,13.8,7.79,2.70,20.0,8.28,5.35,1.65,0.00,0.619,1.36,0.00,0.00,0.00,0.00,0.00,3.66,0.748,0.00,0.623,WT230X37,WT230X37,37.0,4730,229,0.00,0.00,191,0.00,0.00,9.02,14.5,0.00,0.00,0.00,24.7,31.8,0.00,53.8,0.00,0.00,12.4,37,0.00,0.00,22.60,25.3,22.3,226,128,68.6,8.32,136,87.7,41.9,0.00,258,0.365,0.00,0.00,0.00,0.00,0.00,93.0,0.748,0.00,0.623
WT9X23,F,23.0,6.77,9.03,0,0,6.06,0,0,0.360,0.605,0,0,0.00,1.01,1.25,0,0.00,2.33,0.00,0.00,0.558,5.01,0.00,22.3,0.00,25.1,52.1,13.9,7.77,2.77,11.3,5.84,3.71,1.29,0.00,0.609,1.20,0.00,0.00,0.00,0.00,0.00,3.67,0.695,0.00,0.636,WT230X34,WT230X34,34.0,4370,229,0.00,0.00,154,0.00,0.00,9.14,15.4,0.00,0.00,0.00,25.7,31.8,0.00,59.2,0.00,0.00,14.2,34,0.00,0.00,22.30,25.1,21.7,228,127,70.4,4.70,95.7,60.8,32.8,0.00,253,0.322,0.00,0.00,0.00,0.00,0.00,93.2,0.695,0.00,0.636
WT9X20,F,20.0,5.88,8.95,0,0,6.02,0,0,0.315,0.525,0,0,0.00,0.927,1.1875,0,0.00,2.29,0.00,0.00,0.489,5.73,0.00,25.5,0.00,28.4,44.8,12.0,6.73,2.76,9.55,4.97,3.17,1.27,0.00,0.404,0.788,0.00,0.00,0.00,0.00,0.00,3.65,0.693,0.00,0.495,WT230X30,WT230X30,30.0,3790,227,0.00,0.00,153,0.00,0.00,8.00,13.3,0.00,0.00,0.00,23.5,30.2,0.00,58.2,0.00,0.00,12.4,30,0.00,0.00,25.50,28.4,18.6,197,110,70.1,3.98,81.4,51.9,32.3,0.00,168,0.212,0.00,0.00,0.00,0.00,0.00,92.7,0.693,0.00,0.495
WT9X17.5,F,17.5,5.15,8.85,0,0,6.00,0,0,0.300,0.425,0,0,0.00,0.827,1.125,0,0.00,2.39,0.00,0.00,0.450,7.06,0.00,26.7,0.00,29.5,40.1,11.2,6.21,2.79,7.67,4.02,2.56,1.22,0.00,0.252,0.598,0.00,0.00,0.00,0.00,0.00,3.74,0.662,0.00,0.460,WT230X26,WT230X26,2.00,3320,225,0.00,0.00,152,0.00,0.00,7.62,10.8,0.00,0.00,0.00,21.0,28.6,0.00,60.7,0.00,0.00,11.4,2,0.00,0.00,26.70,29.5,16.7,184,102,70.9,3.19,65.9,42.0,31.0,0.00,105,0.161,0.00,0.00,0.00,0.00,0.00,95.0,0.662,0.00,0.460
WT9X155.5,F,156,45.8,11.2,0,0,12.0,0,0,1.52,2.74,0,0,0.00,3.24,3.4375,0,0.00,2.93,0.00,0.00,1.91,2.19,0.00,5.21,0.00,7.34,383,90.6,46.6,2.89,398,104,66.2,2.95,0.00,87.2,339,0.00,0.00,0.00,0.00,0.00,4.41,0.875,0.00,1.00,WT230X232,WT230X232,232,29500,284,0.00,0.00,305,0.00,0.00,38.6,69.6,0.00,0.00,0.00,82.3,87.3,0.00,74.4,0.00,0.00,48.5,232,0.00,0.00,5.21,7.34,159,1480,764,73.4,166,1700,1080,74.9,0.00,36300,91.0,0.00,0.00,0.00,0.00,0.00,112,0.875,0.00,1.00
WT9X141.5,F,142,41.6,10.9,0,0,11.9,0,0,1.40,2.50,0,0,0.00,3.00,0.1875,0,0.00,2.80,0.00,0.00,1.75,2.38,0.00,5.66,0.00,7.80,337,80.2,41.5,2.85,352,92.5,59.2,2.91,0.00,66.5,251,0.00,0.00,0.00,0.00,0.00,4.36,0.873,0.00,1.00,WT230X210.5,WT230X210.5,210,26800,277,0.00,0.00,302,0.00,0.00,35.6,63.5,0.00,0.00,0.00,76.2,4.76,0.00,71.1,0.00,0.00,44.5,211,0.00,0.00,5.66,7.80,140,1310,680,72.4,147,1520,970,73.9,0.00,27700,67.4,0.00,0.00,0.00,0.00,0.00,111,0.873,0.00,1.00
